candidate_id,display_name,profile_type,platform,canonical_url,username,city,description,topics,subscriber_count,audience_band,contactability,verification_status,source_url,discovery_source_url,secondary_source_url,evidence_summary,researched_at
429d6758a5bce8a26eec,Морские деликатесы,channel,telegram,https://t.me/mdkrdru,mdkrdru,Краснодар,☎️89183481507	⏰с 9 до 22	Новороссийск:	📍Пр-т Дзержинского 203	Краснодар 	📍Западный обход 41/1	📍Тургенева 155	📍Зиповская 39/6	📍Кр.партизан 149	📍Гаражная 128	📍Трудовой славы 1/1	📍В-Кругликовская 22/3	📍Карасунская 308 	📍5 дорожная 70/2	📍Разведчиков 15,Региональные,73188,micro,manual_only,original_profile_opened,https://t.me/mdkrdru,https://telemetr.me/catalog/region/krasnodar,https://telemetr.me/analytics/?name=1692650999,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:55.401996+00:00
b97479e8bb1be527819a,Новости Краснодара и Края,channel,telegram,https://t.me/krasnodar_smi,krasnodar_smi,Краснодар,Главный телеграм-канал Краснодара и Краснодарского Края!		Пригласить друзей: https://t.me/+XinUhI4HMUoyN2M6		Поделиться новостью: @Andry_SMI		Купить рекламу: @ADV_SMI	Купить через биржу: https://telega.in/c/krasnodar_smi		https://clck.ru/3FTUEJ	18+,"Новости, Региональные",138510,mid,advertising_contact,original_profile_opened,https://t.me/krasnodar_smi,https://telemetr.me/catalog/region/krasnodar,https://telemetr.me/analytics/?name=1639863971,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:52.042992+00:00
7068eb5b235b7592491e,Новости Краснодара и края |ЮГ-24,channel,telegram,https://t.me/yug_24_ru,yug_24_ru,Краснодар,"📢 Краснодар и Краснодарский край, освещаем все происходящее в круглосуточном режиме		→ Только реклама @anton_palchikov	→ Предложить новость @yug_24_bot	→ Купить рекламу: https://telega.in/c/yug_24_ru","Новости, Региональные",143160,mid,advertising_contact,original_profile_opened,https://t.me/yug_24_ru,https://telemetr.me/catalog/region/krasnodar,https://telemetr.me/analytics/?name=1515992485,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:49.984908+00:00
88442629e0c491a809bf,AUGUST WALZ - женская одежда мода,channel,telegram,https://t.me/augustwalz,augustwalz,Санкт-Петербург,"Наш сайт: augustwalz.ru	Менеджер: @augustwalzspb		ВК https://vk.com/augustwalz 		МЫ В MAX - https://max.ru/id600300473572_biz		👗ТЦ Владимирский Пассаж. СПБ, Владимирский проспект 19 , первый этаж , центральная галерея !	Ежедневно с 11.00 до 21.00","Магазины, Красота и мода, Региональные",20647,micro,manual_only,original_profile_opened,https://t.me/augustwalz,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1314740110,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:48.256407+00:00
dd597c0735f2581e597d,BAKERBRANDS,channel,telegram,https://t.me/bakerbrands,bakerbrands,Санкт-Петербург,"Brands&Vintage Stuff🛒		▫️Всё наличие: @bakerbrandsnl	▫️Гарантии и отзывы : @bakerbrandsrw	▫️Канал админа: @truebaker	▫️Санкт-Петербург 	▫️(Ⓜ️Чернышевская/📍Фурштатская,8)	▫️Доставка по РФ🇷🇺/РБ🇧🇾и СНГ 		По всем вопросам: @bakerbrandss",Магазины,30748,micro,manual_only,original_profile_opened,https://t.me/bakerbrands,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1784606285,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:30.090968+00:00
84b37348a77a73e2c33f,Fjordcloth,channel,telegram,https://t.me/fjordcloth,fjordcloth,Санкт-Петербург,"Для заказа и по всем вопросам @fjordcloth_direct		Вк: @fjordcloth		Адрес: г.Санкт-Петербург, ул.Чехова д.8	Работам с 12:00 до 21:00 	каждый день",Магазины,17960,micro,manual_only,original_profile_opened,https://t.me/fjordcloth,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1292110225,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:34.456140+00:00
adf1ee85a70d4ad5f374,GradSPb | Санкт-Петербург,channel,telegram,https://t.me/gradspb,gradspb,Санкт-Петербург,• Про Санкт-Петербург	• Места и события СПб	• Интересные факты		• Новости Питера в нашем @todayspb			• По рекламе: @dnsxp		• РКН: https://clck.ru/3FJYwP,"Путешествия, Новости, Региональные",46652,micro,advertising_contact,original_profile_opened,https://t.me/gradspb,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1523076309,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:26.975352+00:00
36cd8ab4b2936a3b1181,MANIOLINI,channel,telegram,https://t.me/maniolinishop,maniolinishop,Санкт-Петербург,"Дом обуви, вдохновленный тобой❤️		Коллекция SS’26 уже в наличии		#3T5NW		Оформить заказ: 	https://maniolini.tilda.ws/		По телефону: +79117945474","Магазины, Региональные",41943,micro,manual_only,original_profile_opened,https://t.me/maniolinishop,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1399550826,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:26.923159+00:00
02957540cfb81c4fdd28,Night2Day Санкт-Петербург,channel,telegram,https://t.me/night2day_spb,night2day_spb,Санкт-Петербург,"Здесь новые места, культурные события и ответ на главный вопрос: куда сходить в Петербурге? 		Старший брат @poh_plyashem 		По рекламе и фото: @VaasTheSlain","Путешествия, Кулинария, Афиша",32919,micro,advertising_contact,original_profile_opened,https://t.me/night2day_spb,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1280115739,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:41.099084+00:00
e36faaf6f90815828edf,Petshop Days — фестиваль для питомцев,channel,telegram,https://t.me/petshopdays,petshopdays,Санкт-Петербург,Бесплатный фестиваль владельцев и любителей домашних животных от команды @petshopru 🩵,"Животные, Афиша, Фильмы и сериалы",10722,micro,manual_only,original_profile_opened,https://t.me/petshopdays,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1312024503,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:48.801641+00:00
370398794c168cfc7d92,two-ta | между Петербургом и тобой,channel,telegram,https://t.me/twotaofficial,twotaofficial,Санкт-Петербург,Бренд и производство кожаных сумок и аксессуаров📍Санкт-Петербург		Наш сайт: https://clck.ru/3TRnq2		Задать вопросы: @twota_bags,"Магазины, Региональные",13599,micro,manual_only,original_profile_opened,https://t.me/twotaofficial,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1538185634,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:41.786435+00:00
91471b13665c96c7d984,Änta’s / PRO.Änta’s 🙋‍♀️🌿 Растения 🌱 Уход 🙌🏼 Вдохновение 🦕,channel,telegram,https://t.me/proantas,proantas,Санкт-Петербург,"▫️Санкт-Петербург, Боровая 116	▫️Тропическое пространство PRO.Änta’s Шоу рум - Äранжерея 🌱	Растения, Динозавры, Керамика	И всё такое 🌿✨🦕		Вопросы сюда: @proantas_admin	тел. +7 (995) 594-77-96		Подкаст: https://zelenogo-vremeni-sut.mave.digital		6338148508","Маркетинг и реклама, Рукоделие, Искусство",11374,micro,manual_only,original_profile_opened,https://t.me/proantas,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1236434368,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:42.466371+00:00
395225c801e3ee83b42d,АннаЛогия,channel,telegram,https://t.me/ch_annalogy,ch_annalogy,Санкт-Петербург,📍Санкт-Петербург		✨ По вопросам сотрудничества: @Ave_Anne	✨ YouTube канал: https://youtube.com/@ch_annalogy	✨ TikTok: https://www.tiktok.com/@annalogychanel,Региональные,13391,micro,advertising_contact,original_profile_opened,https://t.me/ch_annalogy,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=2016941316,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:41.757761+00:00
80d411c49fb3a7d7c75a,Аскона-Дисконт(Санкт-Петербург),channel,telegram,https://t.me/vekdiscountspb,vekdiscountspb,Санкт-Петербург,"Единственный в Санкт-Петербурге Дисконт-центр ""Askona""	Мы находимся по адресу СПБ. Дунайский пр., д 27 к1 ТРК ""Дунай""(2 Этаж)	Режим работы ежедневно с 10.00 до 22.00 	Тел.для связи +79036470002;+79036470004",Региональные,17904,micro,manual_only,original_profile_opened,https://t.me/vekdiscountspb,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=2144954143,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:34.393036+00:00
cfc3d1ac62208e8006d3,Банк «Санкт-Петербург»,channel,telegram,https://t.me/mybspb,mybspb,Санкт-Петербург,Ответственность. Внимание. Будущее.	  	Официальный канал Банка «Санкт-Петербург» 		Регистрация в перечне РКН: https://knd.gov.ru/license?id=675bf083e9320a200a93bb88&registryType=bloggersPermission,"Бизнес и финансы, Региональные",19007,micro,manual_only,original_profile_opened,https://t.me/mybspb,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1381395548,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:34.383751+00:00
a3fceb020ad630da3387,Бесплатный Питер | Санкт-Петербург,channel,telegram,https://t.me/piter_free78,piter_free78,Санкт-Петербург,🎉 Все бесплатные мероприятия и развлечения города		Подписывайся и развлекайся бесплатно! 		Обратная связь - @dima_pr78	Купить рекламу: https://telega.in/channels/+DcNoO4S9oqU4MWUy/card		РКН https://vk.cc/cJCAot		#U9PH4,"Афиша, Халява, скидки, акции, Региональные",19907,micro,advertising_contact,original_profile_opened,https://t.me/piter_free78,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1601562968,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:34.482738+00:00
00f774ab41ec634e90e9,Ботанический сад Петра Великого. Санкт-Петербург,channel,telegram,https://t.me/botsad_spb_official,botsad_spb_official,Санкт-Петербург,Официальный канал Ботанического сада Петра Великого. Санкт-Петербург. 	Наш сайт и электронные билеты: https://botsad-spb.com/ru/posetitelyam/elektronnye-bilety	Мы в ВК: https://vk.com/botsad_spb		Номер заявления для регистрации в Роскомнадзоре №5165600516,"Путешествия, Сад и огород, Афиша",15031,micro,manual_only,original_profile_opened,https://t.me/botsad_spb_official,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1712587169,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:37.903664+00:00
47ebfee5ead2009dc979,бьютисóфия,channel,telegram,https://t.me/beautysophia,beautysophia,Санкт-Петербург,"Виктория Ходякова, 39 лет, анти-эйдж профилактика для тела и светский гедонизм для души		@beautysophiapr		📍Питер	MAX: https://max.ru/beautysophia	регистрация https://clk.li/eAfM","Бизнес и финансы, Медицина и здоровье, Красота и мода",19399,micro,manual_only,original_profile_opened,https://t.me/beautysophia,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1542154404,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:35.464727+00:00
614ec5f6e944025c4afd,Вера в курсе,channel,telegram,https://t.me/verochkavkurse,verochkavkurse,Санкт-Петербург,"личный блог. пишу о звездах, о себе и даже о тебе. для связи - @sprosivery		🇷🇺Санкт-Петербург | Майкоп 		MAX: https://max.ru/verochkavkurse		РКН: https://golnk.ru/RaqeW		от лица канала может писать @ladyiks","Религия, Региональные",39943,micro,manual_only,original_profile_opened,https://t.me/verochkavkurse,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=2111276132,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:26.695894+00:00
7817be6b30756408eb9b,Вечерний Санкт-Петербург,channel,telegram,https://t.me/ta_samaya_vecherka,ta_samaya_vecherka,Санкт-Петербург,Одна из старейших газет Петербурга в новом прочтении.		Связь: https://vk.me/ta_samaya_vecherka	Дзен: https://dzen.ru/ve4erka		Заявление в РКН № 7821506828	Включена в перечень персональных страниц https://gosuslugi.ru/snet/68ecfe7813ba5925b349bb3a,"Региональные, Организации",11948,micro,manual_only,original_profile_opened,https://t.me/ta_samaya_vecherka,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1673237187,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:56.075784+00:00
0bd3e3396e62c9f946dc,ВК «Зенит» (Санкт-Петербург),channel,telegram,https://t.me/vczenitspb,vczenitspb,Санкт-Петербург,"Официальный канал клуба, сайт: https://vczenit.ru/		Генеральный спонсор - ПАО «Газпром»	Erid: 2W5zFJHmmwN","Спорт, Региональные, Организации",14877,micro,manual_only,original_profile_opened,https://t.me/vczenitspb,https://telemetr.me/catalog/region/spb,https://telemetr.me/analytics/?name=1400430741,Telemetr отнёс канал к городскому тегу; оригинальный t.me-профиль открыт.,2026-08-25T14:14:41.717447+00:00
